processors,readin,mapping,converting,changetypes,GroupByArtist,GroupByYear,Analysis
2,35.31002649711445,5.97878268128261,7.0023271180689335,7.0023271180689335,0.08359301881864667,0.01962880976498127,2391.5691561917774
2,35.35056734317914,4.235193595755845,0.7215428301133215,0.7215428301133215,0.03752938378602266,0.010683855041861534,2865.3478860771284
2,48.890002727974206,3.1729470510035753,5.454797999933362,5.454797999933362,0.05388727970421314,0.01031491905450821,2431.392177987378
3,28.862666531000286,4.346838710829616,2.472453258931637,2.472453258931637,0.014860568102449179,0.007279606070369482,1476.9719095337205
3,67.91079309303313,0.5407213112339377,0.6417244621552527,0.6417244621552527,0.05000283382833004,0.008809107821434736,1459.6394607168622
3,30.162147177848965,0.38676125509664416,0.2884837267920375,0.2884837267920375,0.03832231368869543,0.012842421885579824,1599.453706482891
4,61.23798793461174,2.723151187878102,4.1523846900090575,4.1523846900090575,0.009751979261636734,0.00668690400198102,2080.406689382624
4,46.47883398178965,0.9596748379990458,0.5826293849386275,0.5826293849386275,0.1615724340081215,0.016531737986952066,2041.2808124427684
4,67.69774229684845,1.2840915136039257,0.6185786402784288,0.6185786402784288,0.07132703298702836,0.01589615037664771,2168.2370208380744
6,38.461064860690385,5.294319121167064,6.55903819995001,6.55903819995001,0.08596074301749468,0.021531449165195227,1306.6318988809362
6,18.895593317225575,0.6814087009988725,0.34722684789448977,0.34722684789448977,0.02975121373310685,0.007986487820744514,1306.9140248629265
6,30.01871814019978,0.6115383207798004,0.3505203193053603,0.3505203193053603,0.02005675807595253,0.009425309021025896,1374.1242708428763